date,home_team,away_team,home_team_score,away_team_score,country,neutral_location,shoot_out,home_team_result,home_team_mean_defense_score,home_team_mean_offense_score,away_team_mean_defense_score,away_team_mean_offense_score
9/8/2004,Honduras,Guatemala,2.00,2.00,Honduras,False,No,Draw,,,,
9/8/2004,Hong Kong,Kuwait,0.00,2.00,Hong Kong,False,No,Lose,,,,
9/8/2004,Hungary,Iceland,3.00,2.00,Hungary,False,No,Win,71.80,75.70,68.80,77.00
9/8/2004,India,Japan,0.00,4.00,India,False,No,Lose,,,,
9/8/2004,Israel,Cyprus,2.00,1.00,Israel,False,No,Win,,,,73.70
9/8/2004,Jordan,IR Iran,0.00,2.00,Jordan,False,No,Lose,,,,
9/8/2004,Kazakhstan,Ukraine,1.00,2.00,Kazakhstan,False,No,Lose,,,,81.70
9/8/2004,Korea DPR,Thailand,4.00,1.00,Korea DPR,False,No,Win,,,,
9/8/2004,Kyrgyz Republic,Bahrain,1.00,2.00,Kyrgyz Republic,False,No,Lose,,,,
9/8/2004,Laos,Qatar,1.00,6.00,Laos,False,No,Lose,,,,
9/8/2004,Lithuania,San Marino,4.00,0.00,Lithuania,False,No,Win,63.00,,,
9/8/2004,Luxembourg,Latvia,3.00,4.00,Luxembourg,False,No,Lose,,,,
9/8/2004,Malaysia,China PR,0.00,1.00,Malaysia,False,No,Lose,,,69.20,71.30
9/8/2004,Maldives,Lebanon,2.00,5.00,Maldives,False,No,Lose,,,,
9/8/2004,Moldova,Italy,0.00,1.00,Moldova,False,No,Lose,,,91.80,92.30
9/8/2004,Netherlands,Czech Republic,2.00,0.00,Netherlands,False,No,Win,85.00,93.00,81.00,81.30
9/8/2004,Norway,Belarus,1.00,1.00,Norway,False,No,Draw,79.20,81.30,,
9/8/2004,Palestine,Uzbekistan,0.00,3.00,Qatar,True,No,Lose,,,,
9/8/2004,Panama,USA,1.00,1.00,Panama,False,No,Draw,,,78.20,80.00
9/8/2004,Poland,England,1.00,2.00,Poland,False,No,Lose,78.00,80.30,90.50,88.70
9/8/2004,Portugal,Estonia,4.00,0.00,Portugal,False,No,Win,86.80,84.30,,
9/8/2004,Scotland,Slovenia,0.00,0.00,Scotland,False,No,Draw,80.20,79.70,71.50,72.00
9/8/2004,Singapore,Oman,0.00,2.00,Singapore,False,No,Lose,,,,
9/8/2004,Slovakia,Liechtenstein,7.00,0.00,Slovakia,False,No,Win,71.20,67.70,,
9/8/2004,Sri Lanka,Indonesia,2.00,2.00,Sri Lanka,False,No,Draw,,,,
9/8/2004,Sweden,Croatia,0.00,1.00,Sweden,False,No,Lose,79.50,83.30,80.50,78.70
9/8/2004,Switzerland,Republic of Ireland,1.00,1.00,Switzerland,False,No,Draw,80.20,77.00,79.20,78.00
9/8/2004,Tajikistan,Syria,0.00,1.00,Tajikistan,False,No,Lose,,,,
9/8/2004,Trinidad and Tobago,Mexico,1.00,3.00,Trinidad and Tobago,False,No,Lose,69.00,74.70,76.00,71.70
9/8/2004,Turkmenistan,Saudi Arabia,0.00,1.00,Turkmenistan,False,No,Lose,,,,
9/8/2004,Vietnam,Korea Republic,1.00,2.00,Vietnam,False,No,Lose,,,75.80,76.70
9/8/2004,Wales,Northern Ireland,2.00,2.00,Wales,False,No,Draw,71.50,79.30,71.80,65.70
9/8/2004,Yemen,United Arab Emirates,3.00,1.00,Yemen,False,No,Win,,,,
9/10/2004,St. Vincent and the Grenadines,St. Kitts and Nevis,1.00,0.00,St. Vincent and the Grenadines,False,No,Win,,,,
9/19/2004,Mozambique,Angola,0.00,1.00,Mozambique,False,No,Lose,,,52.80,77.30
9/25/2004,British Virgin Islands,US Virgin Islands,2.00,1.00,British Virgin Islands,False,No,Win,,,,
9/29/2004,Kuwait,Syria,1.00,1.00,Lebanon,True,No,Draw,,,,
9/30/2004,Botswana,Zambia,1.00,0.00,Botswana,False,No,Win,,,,58.00
10/2/2004,Jamaica,Guatemala,2.00,2.00,USA,True,No,Draw,69.20,77.30,,
10/3/2004,Gabon,Benin,2.00,0.00,Gabon,False,No,Win,,71.70,,
10/3/2004,Lebanon,Kuwait,1.00,3.00,Lebanon,False,No,Lose,,,,
10/6/2004,Lebanon,Kuwait,1.00,1.00,Lebanon,False,No,Draw,,,,
10/6/2004,Saudi Arabia,Syria,2.00,2.00,Saudi Arabia,False,No,Draw,,,,
10/7/2004,Oman,Iraq,1.00,0.00,Oman,False,No,Win,,,,
10/8/2004,Libya,Egypt,2.00,1.00,Libya,False,No,Win,,,,
10/8/2004,Qatar,Syria,1.00,2.00,Qatar,False,No,Lose,,,,
10/8/2004,Singapore,United Arab Emirates,1.00,2.00,Singapore,False,No,Lose,,,,
10/8/2004,Thailand,Jordan,2.00,3.00,Thailand,False,No,Lose,,,,
10/9/2004,Albania,Denmark,0.00,2.00,Albania,False,No,Lose,,59.00,79.50,85.00
10/9/2004,Argentina,Uruguay,4.00,2.00,Argentina,False,No,Win,87.00,87.00,75.50,83.00
10/9/2004,Austria,Poland,1.00,3.00,Austria,False,No,Lose,76.20,73.00,78.00,80.30
10/9/2004,Azerbaijan,Northern Ireland,0.00,0.00,Azerbaijan,False,No,Draw,,,71.80,65.70
10/9/2004,Belarus,Moldova,4.00,0.00,Belarus,False,No,Win,,,,
10/9/2004,Bolivia,Peru,1.00,0.00,Bolivia,False,No,Win,,67.70,,73.70
10/9/2004,Botswana,Kenya,2.00,1.00,Botswana,False,No,Win,,,,
10/9/2004,Cabo Verde,Burkina Faso,1.00,0.00,Cabo Verde,False,No,Win,,,58.80,65.30
10/9/2004,Colombia,Paraguay,1.00,1.00,Colombia,False,No,Draw,80.80,78.70,74.50,75.00
10/9/2004,Costa Rica,Guatemala,5.00,0.00,Costa Rica,False,No,Win,69.50,72.70,,
10/9/2004,Croatia,Bulgaria,2.00,2.00,Croatia,False,No,Draw,80.50,78.70,70.50,79.70
10/9/2004,Cyprus,Faroe Islands,2.00,2.00,Cyprus,False,No,Draw,,73.70,,
10/9/2004,Czech Republic,Romania,1.00,0.00,Czech Republic,False,No,Win,81.00,81.30,77.50,79.00
10/9/2004,El Salvador,USA,0.00,2.00,El Salvador,False,No,Lose,,,78.20,80.00
10/9/2004,England,Wales,2.00,0.00,England,False,No,Win,90.50,88.70,71.50,79.30
10/9/2004,Finland,Armenia,3.00,1.00,Finland,False,No,Win,77.00,78.30,,
10/9/2004,France,Republic of Ireland,0.00,0.00,France,False,No,Draw,88.00,93.00,79.20,78.00
10/9/2004,Gabon,Nigeria,1.00,1.00,Gabon,False,No,Draw,,71.70,78.20,80.00
10/9/2004,Honduras,Canada,1.00,1.00,Honduras,False,No,Draw,,,71.80,73.70
10/9/2004,IR Iran,Germany,0.00,2.00,IR Iran,False,No,Lose,,,87.50,82.70
10/9/2004,Israel,Switzerland,2.00,2.00,Israel,False,No,Draw,,,80.20,77.00
10/9/2004,Liechtenstein,Portugal,2.00,2.00,Liechtenstein,False,No,Draw,,,86.80,84.30
10/9/2004,Luxembourg,Russia,0.00,4.00,Luxembourg,False,No,Lose,,,75.50,79.70
10/9/2004,North Macedonia,Netherlands,2.00,2.00,North Macedonia,False,No,Draw,,,85.00,93.00
10/9/2004,Malawi,Tunisia,2.00,2.00,Malawi,False,No,Draw,,,67.50,71.00
10/9/2004,Malta,Iceland,0.00,0.00,Malta,False,No,Draw,,,68.80,77.00
10/9/2004,Panama,Jamaica,1.00,1.00,Panama,False,No,Draw,,,69.20,77.30
10/9/2004,Rwanda,Algeria,1.00,1.00,Rwanda,False,No,Draw,,,,60.70
10/9/2004,Scotland,Norway,0.00,1.00,Scotland,False,No,Lose,80.20,79.70,79.20,81.30
10/9/2004,Slovakia,Latvia,4.00,1.00,Slovakia,False,No,Win,71.20,67.70,,
10/9/2004,Slovenia,Italy,1.00,0.00,Slovenia,False,No,Win,71.50,72.00,91.80,92.30
10/9/2004,Solomon Islands,Australia,1.00,5.00,Solomon Islands,False,No,Lose,,,74.20,80.30
10/9/2004,Spain,Belgium,2.00,0.00,Spain,False,No,Win,86.50,89.30,81.00,78.00
10/9/2004,Sri Lanka,Turkmenistan,2.00,2.00,Sri Lanka,False,No,Draw,,,,
10/9/2004,Sudan,Cameroon,1.00,1.00,Sudan,False,No,Draw,,,81.20,80.30
10/9/2004,Sweden,Hungary,3.00,0.00,Sweden,False,No,Win,79.50,83.30,71.80,75.70
10/9/2004,Turkey,Kazakhstan,4.00,0.00,Turkey,False,No,Win,75.00,79.30,,
10/9/2004,Ukraine,Greece,1.00,1.00,Ukraine,False,No,Draw,,81.70,82.80,83.70
10/9/2004,Venezuela,Brazil,2.00,5.00,Venezuela,False,No,Lose,58.50,,89.00,92.30
10/10/2004,Angola,Zimbabwe,1.00,0.00,Angola,False,No,Win,52.80,77.30,,
10/10/2004,Benin,C̫te d'Ivoire,0.00,1.00,Benin,False,No,Lose,,,73.20,81.00
10/10/2004,Congo,Zambia,2.00,3.00,Congo,False,No,Lose,60.80,77.00,,58.00
10/10/2004,Ecuador,Chile,2.00,0.00,Ecuador,False,No,Win,64.50,,,79.30
10/10/2004,Ghana,Congo DR,0.00,0.00,Ghana,False,No,Draw,77.20,72.70,,70.00
10/10/2004,Guinea,Morocco,1.00,1.00,Guinea,False,No,Draw,74.20,67.00,75.20,73.70
10/10/2004,Liberia,Senegal,0.00,3.00,Liberia,False,No,Lose,,,71.80,76.30
10/10/2004,Togo,Mali,1.00,0.00,Togo,False,No,Win,,67.30,70.50,77.30
10/10/2004,Trinidad and Tobago,St. Kitts and Nevis,5.00,1.00,Trinidad and Tobago,False,No,Win,69.00,74.70,,
10/10/2004,Uganda,South Africa,0.00,1.00,Uganda,False,No,Lose,,,75.00,77.30
10/12/2004,Australia,Solomon Islands,6.00,0.00,Australia,False,No,Win,74.20,80.30,,
10/12/2004,Bolivia,Uruguay,0.00,0.00,Bolivia,False,No,Draw,,67.70,75.50,83.00
10/12/2004,Indonesia,Saudi Arabia,1.00,3.00,Indonesia,False,No,Lose,,,,
10/13/2004,Andorra,North Macedonia,1.00,0.00,Andorra,False,No,Win,,,,
10/13/2004,Armenia,Czech Republic,0.00,3.00,Armenia,False,No,Lose,,,81.00,81.30
10/13/2004,Azerbaijan,England,0.00,1.00,Azerbaijan,False,No,Lose,,,90.50,88.70
10/13/2004,Brazil,Colombia,0.00,0.00,Brazil,False,No,Draw,89.00,92.30,80.80,78.70
10/13/2004,Bulgaria,Malta,4.00,1.00,Bulgaria,False,No,Win,70.50,79.70,,
10/13/2004,Canada,Costa Rica,1.00,3.00,Canada,False,No,Lose,71.80,73.70,69.50,72.70
10/13/2004,Chile,Argentina,0.00,0.00,Chile,False,No,Draw,,79.30,87.00,87.00
10/13/2004,Cyprus,France,0.00,2.00,Cyprus,False,No,Lose,,73.70,88.00,93.00
10/13/2004,Denmark,Turkey,1.00,1.00,Denmark,False,No,Draw,79.50,85.00,75.00,79.30
10/13/2004,Guatemala,Honduras,1.00,0.00,Guatemala,False,No,Win,,,,
10/13/2004,Hong Kong,Malaysia,2.00,0.00,Hong Kong,False,No,Win,,,,
10/13/2004,Iceland,Sweden,1.00,4.00,Iceland,False,No,Lose,68.80,77.00,79.50,83.30
10/13/2004,Iraq,Uzbekistan,1.00,2.00,Jordan,True,No,Lose,,,,
10/13/2004,Republic of Ireland,Faroe Islands,2.00,0.00,Republic of Ireland,False,No,Win,79.20,78.00,,
10/13/2004,Italy,Belarus,4.00,3.00,Italy,False,No,Win,91.80,92.30,,
10/13/2004,Jamaica,El Salvador,0.00,0.00,Jamaica,False,No,Draw,69.20,77.30,,
10/13/2004,Kazakhstan,Albania,0.00,1.00,Kazakhstan,False,No,Lose,,,,59.00
10/13/2004,Korea DPR,Yemen,2.00,1.00,Korea DPR,False,No,Win,,,,
10/13/2004,Kuwait,China PR,1.00,0.00,Kuwait,False,No,Win,,,69.20,71.30
10/13/2004,Laos,Jordan,2.00,3.00,Laos,False,No,Lose,,,,
10/13/2004,Latvia,Estonia,2.00,2.00,Latvia,False,No,Draw,,,,
10/13/2004,Lebanon,Korea Republic,1.00,1.00,Lebanon,False,No,Draw,,,75.80,76.70
10/13/2004,Lithuania,Spain,0.00,0.00,Lithuania,False,No,Draw,63.00,,86.50,89.30
10/13/2004,Luxembourg,Liechtenstein,0.00,4.00,Luxembourg,False,No,Lose,,,,
10/13/2004,Maldives,Vietnam,3.00,0.00,Maldives,False,No,Win,,,,
10/13/2004,Mexico,Trinidad and Tobago,3.00,0.00,Mexico,False,No,Win,76.00,71.70,69.00,74.70
10/13/2004,Moldova,Scotland,1.00,1.00,Moldova,False,No,Draw,,,80.20,79.70
10/13/2004,Netherlands,Finland,3.00,1.00,Netherlands,False,No,Win,85.00,93.00,77.00,78.30
10/13/2004,Northern Ireland,Austria,3.00,3.00,Northern Ireland,False,No,Draw,71.80,65.70,76.20,73.00
10/13/2004,Norway,Slovenia,3.00,0.00,Norway,False,No,Win,79.20,81.30,71.50,72.00
10/13/2004,Oman,Japan,0.00,1.00,Oman,False,No,Lose,,,,
10/13/2004,Paraguay,Peru,1.00,1.00,Paraguay,False,No,Draw,74.50,75.00,,73.70
10/13/2004,Portugal,Russia,7.00,1.00,Portugal,False,No,Win,86.80,84.30,75.50,79.70
10/13/2004,Qatar,IR Iran,2.00,3.00,Qatar,False,No,Lose,,,,
10/13/2004,Singapore,India,2.00,0.00,Singapore,False,No,Win,,,,
10/13/2004,St. Kitts and Nevis,St. Vincent and the Grenadines,0.00,3.00,St. Kitts and Nevis,False,No,Lose,,,,
10/13/2004,Syria,Bahrain,2.00,2.00,Syria,False,No,Draw,,,,
10/13/2004,Tajikistan,Kyrgyz Republic,2.00,1.00,Tajikistan,False,No,Win,,,,
10/13/2004,Thailand,United Arab Emirates,3.00,0.00,Thailand,False,No,Win,,,,
10/13/2004,Ukraine,Georgia,2.00,0.00,Ukraine,False,No,Win,,81.70,,
10/13/2004,USA,Panama,6.00,0.00,USA,False,No,Win,78.20,80.00,,
10/13/2004,Wales,Poland,2.00,3.00,Wales,False,No,Lose,71.50,79.30,78.00,80.30
10/14/2004,Venezuela,Ecuador,3.00,1.00,Venezuela,False,No,Win,58.50,,64.50,
10/17/2004,St. Lucia,Grenada,3.00,1.00,St. Lucia,False,No,Win,,,,
10/20/2004,Ecuador,Jordan,0.00,3.00,Libya,True,No,Lose,64.50,,,
10/22/2004,Libya,Jordan,1.00,0.00,Libya,False,No,Win,,,,
10/22/2004,Nigeria,Ecuador,2.00,2.00,Libya,True,Yes,Lose,78.20,80.00,64.50,
10/24/2004,Zimbabwe,Zambia,0.00,0.00,Zimbabwe,False,Yes,Lose,,,,58.00
10/27/2004,Mexico,Ecuador,2.00,1.00,USA,True,No,Win,76.00,71.70,64.50,
10/31/2004,St. Kitts and Nevis,Montserrat,6.00,1.00,St. Kitts and Nevis,False,No,Win,,,,
11/1/2004,Yemen,Zambia,2.00,2.00,United Arab Emirates,True,No,Draw,,,,58.00
11/2/2004,Montserrat,Antigua and Barbuda,4.00,5.00,St. Kitts and Nevis,True,No,Lose,,,,
11/2/2004,St. Kitts and Nevis,St. Lucia,1.00,1.00,St. Kitts and Nevis,False,No,Draw,,,,
11/4/2004,St. Kitts and Nevis,Antigua and Barbuda,2.00,0.00,St. Kitts and Nevis,False,No,Win,,,,
11/5/2004,Kuwait,India,2.00,3.00,Kuwait,False,No,Lose,,,,
11/6/2004,Antigua and Barbuda,St. Lucia,1.00,2.00,St. Kitts and Nevis,True,No,Lose,,,,
11/10/2004,Kuwait,Kyrgyz Republic,3.00,0.00,Kuwait,False,No,Win,,,,
11/10/2004,Mexico,Guatemala,2.00,0.00,USA,True,No,Win,76.00,71.70,,
11/11/2004,United Arab Emirates,Jordan,4.00,0.00,United Arab Emirates,False,No,Win,,,,
11/13/2004,Guatemala,Bolivia,1.00,0.00,USA,True,No,Win,,,,67.70
11/13/2004,St. Kitts and Nevis,Mexico,0.00,5.00,USA,True,No,Lose,,,76.00,71.70
11/16/2004,Australia,Norway,2.00,2.00,England,True,No,Draw,74.20,80.30,79.20,81.30
11/16/2004,Iraq,Palestine,4.00,1.00,Qatar,True,No,Win,,,,
11/16/2004,Republic of Ireland,Croatia,1.00,0.00,Republic of Ireland,False,No,Win,79.20,78.00,80.50,78.70
11/17/2004,Algeria,Senegal,1.00,2.00,France,True,No,Lose,,60.70,71.80,76.30
11/17/2004,Andorra,Netherlands,0.00,3.00,Spain,True,No,Lose,,,85.00,93.00
11/17/2004,Argentina,Venezuela,3.00,2.00,Argentina,False,No,Win,87.00,87.00,58.50,
11/17/2004,Armenia,Romania,1.00,1.00,Armenia,False,No,Draw,,,77.50,79.00
11/17/2004,Azerbaijan,Bulgaria,0.00,0.00,Azerbaijan,False,No,Draw,,,70.50,79.70
11/17/2004,Bahrain,Tajikistan,4.00,0.00,Bahrain,False,No,Win,,,,
11/17/2004,China PR,Hong Kong,7.00,0.00,China PR,False,No,Win,69.20,71.30,,
11/17/2004,Colombia,Bolivia,1.00,0.00,Colombia,False,No,Win,80.80,78.70,,67.70
11/17/2004,Cyprus,Israel,1.00,2.00,Cyprus,False,No,Lose,,73.70,,
11/17/2004,Ecuador,Brazil,1.00,0.00,Ecuador,False,No,Win,64.50,,89.00,92.30
11/17/2004,France,Poland,0.00,0.00,France,False,No,Draw,88.00,93.00,78.00,80.30
11/17/2004,Georgia,Denmark,2.00,2.00,Georgia,False,No,Draw,,,79.50,85.00
11/17/2004,Germany,Cameroon,3.00,0.00,Germany,False,No,Win,87.50,82.70,81.20,80.30
11/17/2004,Greece,Kazakhstan,3.00,1.00,Greece,False,No,Win,82.80,83.70,,
11/17/2004,Guatemala,Canada,0.00,1.00,Guatemala,False,No,Lose,,,71.80,73.70
11/17/2004,Honduras,Costa Rica,0.00,0.00,Honduras,False,No,Draw,,,69.50,72.70
11/17/2004,Indonesia,Turkmenistan,3.00,1.00,Indonesia,False,No,Win,,,,
11/17/2004,IR Iran,Laos,7.00,0.00,IR Iran,False,No,Win,,,,
11/17/2004,Italy,Finland,1.00,0.00,Italy,False,No,Win,91.80,92.30,77.00,78.30
11/17/2004,Japan,Singapore,1.00,0.00,Japan,False,No,Win,,,,
11/17/2004,Kenya,Guinea,2.00,1.00,Kenya,False,No,Win,,,74.20,67.00
11/17/2004,Korea Republic,Maldives,2.00,0.00,Korea Republic,False,No,Win,75.80,76.70,,
11/17/2004,Kuwait,Malaysia,6.00,1.00,Kuwait,False,No,Win,,,,
11/17/2004,Lebanon,Vietnam,0.00,0.00,Lebanon,False,No,Draw,,,,
11/17/2004,Liechtenstein,Latvia,1.00,3.00,Liechtenstein,False,No,Lose,,,,
11/17/2004,Luxembourg,Portugal,0.00,5.00,Luxembourg,False,No,Lose,,,86.80,84.30
11/17/2004,North Macedonia,Czech Republic,0.00,2.00,North Macedonia,False,No,Lose,,,81.00,81.30
11/17/2004,Malta,Hungary,0.00,2.00,Malta,False,No,Lose,,,71.80,75.70
11/17/2004,Mexico,St. Kitts and Nevis,8.00,0.00,Mexico,False,No,Win,76.00,71.70,,
11/17/2004,Morocco,Burkina Faso,4.00,0.00,Morocco,False,No,Win,75.20,73.70,58.80,65.30
11/17/2004,Oman,India,0.00,0.00,Oman,False,No,Draw,,,,
11/17/2004,Panama,El Salvador,3.00,0.00,Panama,False,No,Win,,,,
11/17/2004,Peru,Chile,2.00,1.00,Peru,False,No,Win,,73.70,,79.30
11/17/2004,Qatar,Jordan,2.00,0.00,Qatar,False,No,Win,,,,
11/17/2004,Russia,Estonia,4.00,0.00,Russia,False,No,Win,75.50,79.70,,
11/17/2004,San Marino,Lithuania,0.00,1.00,San Marino,False,No,Lose,,,63.00,
11/17/2004,Saudi Arabia,Sri Lanka,3.00,0.00,Saudi Arabia,False,No,Win,,,,
11/17/2004,Scotland,Sweden,1.00,4.00,Scotland,False,No,Lose,80.20,79.70,79.50,83.30
11/17/2004,Slovakia,Slovenia,0.00,0.00,Slovakia,False,No,Draw,71.20,67.70,71.50,72.00
11/17/2004,South Africa,Nigeria,2.00,1.00,South Africa,False,No,Win,75.00,77.30,78.20,80.00
11/17/2004,Spain,England,1.00,0.00,Spain,False,No,Win,86.50,89.30,90.50,88.70
11/17/2004,Syria,Kyrgyz Republic,0.00,1.00,Syria,False,No,Lose,,,,
11/17/2004,Thailand,Yemen,1.00,1.00,Thailand,False,No,Draw,,,,
11/17/2004,Turkey,Ukraine,0.00,3.00,Turkey,False,No,Lose,75.00,79.30,,81.70
11/17/2004,United Arab Emirates,Korea DPR,1.00,0.00,United Arab Emirates,False,No,Win,,,,
11/17/2004,Uruguay,Paraguay,1.00,0.00,Uruguay,False,No,Win,75.50,83.00,74.50,75.00
11/17/2004,USA,Jamaica,1.00,1.00,USA,False,No,Draw,78.20,80.00,69.20,77.30
11/17/2004,Uzbekistan,Chinese Taipei,6.00,1.00,Uzbekistan,False,No,Win,,,,
11/20/2004,Zambia,Angola,0.00,0.00,Zambia,False,Yes,Lose,,58.00,52.80,77.30
11/22/2004,United Arab Emirates,Belarus,2.00,3.00,United Arab Emirates,False,No,Lose,,,,
11/24/2004,Cayman Islands,Bermuda,1.00,2.00,St. Vincent and the Grenadines,True,No,Lose,,,,
11/24/2004,Grenada,Suriname,2.00,2.00,Trinidad and Tobago,True,No,Draw,,,,
11/24/2004,Haiti,US Virgin Islands,11.00,0.00,Jamaica,True,No,Win,,,,
11/24/2004,Trinidad and Tobago,Puerto Rico,5.00,0.00,Trinidad and Tobago,False,No,Win,69.00,74.70,,
